BKKB08828400                  ,ONE       ,UNIVERSAL RICE CO.  LTD.                                                                                                                                                            ,          ,                                        ,                                                                                ,2021-02-22 00:00:00.000, RICE (SHORT  MEDIUM OR LONG GRAIN)  SEMI OR WHOLLY MILLED ,CONTAINER FOOD GRADE OR B+ CMDT : RICE (SHORT  MEDIUM OR LONG GRAIN)  SEMI OR WHOLLY MILLED :,2021-02-19 09:20:26.267
BKKB08833700                  ,ONE       ,UNIVERSAL RICE CO.  LTD.                                                                                                                                                            ,          ,                                        ,                                                                                ,2021-02-22 00:00:00.000, RICE (SHORT  MEDIUM OR LONG GRAIN)  SEMI OR WHOLLY MILLED ,CONTAINER FOOD GRADE OR B+ CMDT : RICE (SHORT  MEDIUM OR LONG GRAIN)  SEMI OR WHOLLY MILLED :,2021-02-19 09:20:26.280
BKKB09985900                  ,ONE       ,UTHAI PRODUCE CO.  LTD.                                                                                                                                                             ,          ,                                        ,                                                                                ,2021-02-22 00:00:00.000,RICE PACK IN BAG,MOVE CNTR NO TCLU3843389   TO BKKB67755800 CMDT : RICE PACK IN BAG :,2021-02-19 09:20:26.383
BKKB11151800                  ,ONE       ,GLOBAL DISTRIBUTION ALLIANCE (THAILAND) CO.  LTD.                                                                                                                                   ,          ,                                        ,                                                                                ,2021-02-22 00:00:00.000, SHEETS  STRIPS  FILM  OF POLYPROPYLENE ,SHPR : TPBI PUBLIC COMPANY LIMITED CMDT : SHEETS  STRIPS & FILM  OF POLYPROPYLENE :,2021-02-19 09:20:26.397
BKKB13092700                  ,ONE       ,WISMA FORWARDING LIMITED                                                                                                                                                            ,          ,                                        ,                                                                                ,2021-03-20 00:00:00.000, PEPPER CAPSICUM PIMENTA FRUIT DRY   DRIED  NEITHER CRUSHED NOR GROUND ,SHPR : RAMA FOODS CO.  LTD. CMDT : PEPPER CAPSICUM PIMENTA FRUIT DRY   DRIED  NEITHER CRUSHED NOR GROUND :,2021-02-19 09:20:26.500
BKKB13254700                  ,ONE       ,ORIENT STAR INTERNATIONAL LOGISTICS CO.  LTD                                                                                                                                        ,          ,                                        ,                                                                                ,2021-02-22 00:00:00.000, STAPLE FIBERS OF POLYESTER  NOT CARDED OR COMBED ,SHPR : TEIJIN POLYESTER (THAILAND) LIMITED CMDT : STAPLE FIBERS OF POLYESTER  NOT CARDED OR COMBED :,2021-02-19 09:20:26.527
BKKB13340300                  ,ONE       ,MAGNA INTERNATIONAL EXPRESS CO.  LTD.                                                                                                                                               ,          ,                                        ,                                                                                ,2021-02-22 00:00:00.000, FEMININE WASH,SHPR : MEIYUME MANUFACTURING (THAILAND)LIMITED CMDT : FEMININE WASH:,2021-02-19 09:20:26.550
BKKB13600900                  ,ONE       ,DAMCO LOGISTICS (THAILAND) CO.  LTD.                                                                                                                                                ,          ,                                        ,                                                                                ,2021-02-27 00:00:00.000, SOAP BARS  FOR TOILET USE ,SHPR : PZ CUSSONS (THAILAND) LTD CMDT : SOAP BARS  FOR TOILET USE :,2021-02-19 09:20:26.580
BKKB13752300                  ,ONE       ,AKARA GROUP CO.  LTD.                                                                                                                                                               ,          ,                                        ,                                                                                ,2021-03-01 00:00:00.000, EGGS OR EGG PRODUCTS  CHILLED OR FRESH ,TEMP: +4C NON PRECOOL SHPR : AKARA GROUP CO.  LTD. CMDT : EGGS OR EGG PRODUCTS  CHILLED OR FRESH :,2021-02-19 09:20:26.603
BKKB14981800                  ,ONE       ,HECNY TRANSPORTATION (THAILAND) LTD                                                                                                                                                 ,          ,                                        ,                                                                                ,2021-02-22 00:00:00.000, WATER SKIS  SURFBOARDS  WATER-SPORT EQUIPMENT ,SHPR : COMPOSITE CREATIONS CO. LTD. CMDT : WATER SKIS  SURFBOARDS & WATER-SPORT EQUIPMENT :,2021-02-19 09:20:26.687
