MSLU9120838,40,HC,"TLTCLCJU21051201              ","MSL1139723          ","MAZDA POWERTRAIN MANUFACTURING (THAILAND) CO.,LTD.                                                  ","21SIM-03784-00      ","                                                                                                    ","JOSCO LUCKY                                                                                         ","                    ","                    ",2021-04-16,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","759144 ",2021-04-17 09:21:56.580,"K011      ",NULL,NULL,NULL
MSLU9181026,40,HC,"TLTCLCJU21051202              ","MSL1139737          ","MAZDA POWERTRAIN MANUFACTURING (THAILAND) CO.,LTD.                                                  ","21SIM-03785-00      ","                                                                                                    ","JOSCO LUCKY                                                                                         ","                    ","                    ",2021-04-16,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","635388 ",2021-04-17 09:49:19.623,"I011      ",NULL,NULL,NULL
TCKU7992716,40,HC,"TLTCLCJU21051202              ","MSL1139754          ","MAZDA POWERTRAIN MANUFACTURING (THAILAND) CO.,LTD.                                                  ","21SIM-03785-00      ","                                                                                                    ","JOSCO LUCKY                                                                                         ","                    ","                    ",2021-04-16,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","617540 ",2021-04-17 10:33:10.057,"I012      ",NULL,NULL,NULL
