TLLU8070757,40,HC,"ONEYHI9AE0115800              ","JPB759348           ","MAZDA POWERTRAIN MANUFACTURING (THAILAND) CO.,LTD.                                                  ","21SIM-03974-00      ","                                                                                                    ","MOL SPARKLE                                                                                         ","                    ","                    ",2021-04-19,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","635391 ",2021-04-10 08:26:34.803,"ZF011     ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","759242 ",2021-04-17 08:42:49.703
TCLU4979657,40,HC,"ONEYHI9AE0115800              ","JPB759328           ","MAZDA POWERTRAIN MANUFACTURING (THAILAND) CO.,LTD.                                                  ","21SIM-03974-00      ","                                                                                                    ","MOL SPARKLE                                                                                         ","                    ","                    ",2021-04-19,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","738347 ",2021-04-10 11:45:14.380,"ZF012     ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","759242 ",2021-04-17 08:21:30.403
MSLU9124387,40,HC,"MLCHNKGJS2105F1               ","126542              ","MAZDA POWERTRAIN MANUFACTURING (THAILAND) CO.,LTD.                                                  ","21SEX-03821-00      ","CMA CHINA                                                                                           ","JOSCO SHINE 2105N                                                                                   ","                    ","                    ",2021-04-19,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","761561 ",2021-04-07 07:37:25.620,"ZD011     ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","738408 ",2021-04-16 16:54:24.573
UETU5591187,40,HC,"MLCHNKGJS2105F1               ","126543              ","MAZDA POWERTRAIN MANUFACTURING (THAILAND) CO.,LTD.                                                  ","21SEX-03821-00      ","CMA CHINA                                                                                           ","JOSCO SHINE 2105N                                                                                   ","                    ","                    ",2021-04-19,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","648592 ",2021-04-07 10:59:04.720,"ZD012     ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","738347 ",2021-04-16 16:40:31.020
TEMU7811962,40,HC,"MLCHNKGJS2105F1               ","126544              ","MAZDA POWERTRAIN MANUFACTURING (THAILAND) CO.,LTD.                                                  ","21SEX-03821-00      ","CMA CHINA                                                                                           ","JOSCO SHINE 2105N                                                                                   ","                    ","                    ",2021-04-19,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","759241 ",2021-04-07 12:55:15.737,"ZD021     ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","648595 ",2021-04-16 16:16:13.750
MSLU9114809,40,HC,"MLCHNKGJS2105F1               ","126547              ","MAZDA POWERTRAIN MANUFACTURING (THAILAND) CO.,LTD.                                                  ","21SEX-03821-00      ","CMA CHINA                                                                                           ","JOSCO SHINE 2105N                                                                                   ","                    ","                    ",2021-04-19,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","761561 ",2021-04-07 16:33:04.030,"ZD022     ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","648594 ",2021-04-16 16:03:14.607
TRLU8734287,40,GP,"BKKB71252900                  ","THAO68413           ","AW (THAILAND) CO.,LTD.                                                                              ","21SEX-03872-00      ","JAPAN                                                                                               ","NYK SILVIA 549N                                                                                     ","                    ","                    ",2021-04-16,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","635390 ",2021-04-06 10:08:41.240,"V011      ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","726289 ",2021-04-16 15:54:54.447
MSLU9122553,40,HC,"MLCHNKGJS2105F1               ","126548              ","MAZDA POWERTRAIN MANUFACTURING (THAILAND) CO.,LTD.                                                  ","21SEX-03821-00      ","CMA CHINA                                                                                           ","JOSCO SHINE 2105N                                                                                   ","                    ","                    ",2021-04-19,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","648592 ",2021-04-08 07:59:27.560,"ZD031     ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ",7650298,2021-04-16 15:18:16.180
FCIU7019939,40,HC,"MLCHNKGJS2105F1               ","126549              ","MAZDA POWERTRAIN MANUFACTURING (THAILAND) CO.,LTD.                                                  ","21SEX-03821-00      ","CMA CHINA                                                                                           ","JOSCO SHINE 2105N                                                                                   ","                    ","                    ",2021-04-19,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","604244 ",2021-04-08 10:59:58.837,"ZD032     ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","655455 ",2021-04-16 14:47:01.943
NYKU8450512,40,GP,"BKKB71252900                  ","THAO68410           ","AW (THAILAND) CO.,LTD.                                                                              ","21SEX-03872-00      ","JAPAN                                                                                               ","NYK SILVIA 549N                                                                                     ","                    ","                    ",2021-04-16,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","774752 ",2021-04-06 14:37:35.133,"V012      ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","738347 ",2021-04-16 14:42:08.833
