BKKB58371900                  ,40,HC,1,1,1
BKKB58374500                  ,40,HC,1,1,1
21070034S001                  ,20,GP,2,2,2
BKKB51621700                  ,40,HC,1,1,1
BKKAV9532700                  ,40,HC,2,2,2
BKKB00436500                  ,20,GP,1,1,1
BKKB00436500                  ,40,HC,7,7,7
BKKB39175300                  ,40,GP,1,1,1
BKKB40245700                  ,40,GP,1,1,1
BKKB52190900                  ,20,GP,1,1,1
BKKB58735600                  ,40,HC,3,3,3
BKKB41263800                  ,20,GP,1,1,1
BKKAS8399900                  ,40,HC,2,2,2
BKKAV8050800                  ,40,GP,1,1,1
BKKAW1709600                  ,40,HC,1,1,1
BKKB05010500                  ,20,GP,1,1,1
BKKB08415300                  ,20,GP,1,1,1
BKKB08814600                  ,20,GP,1,1,1
BKKB08821400                  ,20,GP,1,1,1
BKKB08823600                  ,20,GP,1,1,1
BKKB08828400                  ,20,GP,1,1,1
BKKB08833700                  ,20,GP,1,1,1
BKKB09985900                  ,20,GP,4,4,4
BKKB11151800                  ,20,GP,1,1,1
BKKB13092700                  ,20,GP,1,1,1
BKKB13254700                  ,40,HC,1,1,1
BKKB13340300                  ,20,GP,1,1,1
BKKB13600900                  ,20,GP,1,1,1
BKKB13752300                  ,40,RH,1,1,1
BKKB14981800                  ,45,HC,1,1,1
BKKB15127800                  ,40,HC,7,7,7
BKKB17696700                  ,40,GP,1,1,1
BKKB19646400                  ,40,GP,1,1,1
BKKB20950800                  ,20,GP,1,1,1
BKKB21182600                  ,20,GP,2,2,2
BKKB24593800                  ,20,GP,5,5,5
BKKB24623900                  ,20,GP,1,1,1
BKKB25641300                  ,20,GP,1,1,1
BKKB25648300                  ,20,GP,3,3,3
BKKB25649400                  ,20,GP,8,8,8
BKKB26489700                  ,20,GP,1,1,1
BKKB26806700                  ,40,HC,1,1,1
BKKB27131600                  ,40,HC,1,1,1
BKKB27955600                  ,20,GP,1,1,1
BKKB28553800                  ,40,HC,5,5,5
BKKB28557500                  ,40,HC,3,3,3
BKKB28985300                  ,40,HC,10,10,10
BKKB28985300                  ,20,GP,1,1,1
BKKB29094900                  ,20,GP,1,1,1
BKKB29096400                  ,20,GP,2,2,2
BKKB29099700                  ,20,GP,2,2,2
BKKB29103700                  ,20,GP,1,1,1
BKKB29112700                  ,20,GP,5,5,5
BKKB29309800                  ,40,HC,1,1,1
BKKB29428300                  ,40,RH,2,2,2
BKKB29664500                  ,20,GP,1,1,1
BKKB29673500                  ,20,GP,1,1,1
BKKB29682500                  ,20,GP,1,1,1
BKKB29855700                  ,20,GP,2,2,2
BKKB30175800                  ,20,GP,2,2,2
BKKB30191600                  ,20,GP,2,2,2
BKKB30435700                  ,20,GP,1,1,1
BKKB30504400                  ,20,GP,3,3,3
BKKB31318800                  ,20,GP,1,1,1
BKKB31327800                  ,20,GP,1,1,1
BKKB31331300                  ,20,GP,1,1,1
BKKB31353700                  ,20,GP,1,1,1
BKKB31953600                  ,40,HC,1,1,1
BKKB32132300                  ,45,HC,4,4,4
BKKB32577900                  ,20,GP,1,1,1
BKKB32695300                  ,20,GP,1,1,1
BKKB32769500                  ,20,GP,15,15,15
BKKB33089800                  ,20,GP,1,1,1
BKKB33266500                  ,40,HC,2,2,2
BKKB34585300                  ,20,GP,1,1,1
BKKB34804400                  ,20,GP,1,1,1
BKKB34954300                  ,20,GP,2,2,2
BKKB35258800                  ,20,GP,1,1,1
BKKB35293700                  ,20,GP,1,1,1
BKKB35443400                  ,20,GP,1,1,1
BKKB35982500                  ,20,GP,1,1,1
BKKB36000800                  ,20,GP,1,1,1
BKKB36522300                  ,20,GP,1,1,1
BKKB36690900                  ,20,GP,8,8,8
BKKB38019600                  ,20,GP,1,1,1
BKKB38392300                  ,40,RH,1,1,1
BKKB38899800                  ,40,GP,2,2,2
BKKB39044500                  ,40,GP,8,8,8
BKKB39202800                  ,40,GP,1,1,1
BKKB39255900                  ,20,GP,6,6,6
BKKB39282900                  ,20,GP,2,2,2
BKKB39334700                  ,20,GP,1,1,1
BKKB39335800                  ,20,GP,1,1,1
BKKB39349600                  ,40,GP,1,1,1
BKKB39577900                  ,20,GP,1,1,1
BKKB39608400                  ,40,HC,1,1,1
BKKB40027500                  ,40,GP,1,1,1
BKKB40119700                  ,40,GP,1,1,1
BKKB41586900                  ,40,HC,1,1,1
BKKB41950400                  ,20,GP,1,1,1
BKKB42085400                  ,40,HC,1,1,1
BKKB42886600                  ,20,GP,5,5,5
BKKB43042500                  ,20,GP,2,2,2
BKKB43145900                  ,20,GP,1,1,1
BKKB43205600                  ,20,GP,1,1,1
BKKB43287900                  ,40,GP,1,1,1
BKKB43363400                  ,20,GP,2,2,2
BKKB43558300                  ,40,GP,1,1,1
BKKB43959800                  ,40,GP,1,1,1
BKKB44247600                  ,40,GP,1,1,1
BKKB44317400                  ,40,RH,1,1,1
BKKB44323800                  ,40,RH,1,1,1
BKKB44648400                  ,20,GP,1,1,1
BKKB44792400                  ,40,HC,1,1,1
BKKB44801900                  ,40,GP,1,1,1
BKKB44963400                  ,40,GP,1,1,1
BKKB44984700                  ,40,GP,1,1,1
BKKB45027300                  ,40,GP,1,1,1
BKKB45107900                  ,20,GP,1,1,1
BKKB46672300                  ,20,GP,1,1,1
BKKB46695800                  ,20,GP,2,2,2
BKKB46782500                  ,40,GP,1,1,1
BKKB46792600                  ,20,GP,5,5,5
BKKB47661900                  ,40,GP,1,1,1
BKKB48830800                  ,40,GP,1,1,1
BKKB49188800                  ,20,GP,1,1,1
BKKB49616400                  ,20,GP,5,5,5
